$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.29535592,0.0,tanh
200,0.2081261,0.0,tanh
200,0.25547233,0.0,tanh
200,0.28101057,0.0,tanh
200,0.3201432,0.0,tanh
200,0.24619116,0.0,tanh
200,0.18406563,0.0,tanh
200,0.32677865,0.0,tanh
200,0.09527934,0.0,tanh
200,0.20104568,0.0,tanh
400,0.12961476,0.0,tanh
400,0.14441408,0.0,tanh
400,0.20429127,0.0,tanh
400,0.17262492,0.0,tanh
400,0.2337143,0.0,tanh
400,0.15204073,0.0,tanh
400,0.14285167,0.0,tanh
400,0.17406051,0.0,tanh
400,0.074067846,0.0,tanh
400,0.16131948,0.0,tanh
800,0.11548033,0.0,tanh
800,0.13574329,0.0,tanh
800,0.18877465,0.0,tanh
800,0.10839683,0.0,tanh
800,0.09982053,0.0,tanh
800,0.079958215,0.0,tanh
800,0.091258325,0.0,tanh
800,0.124829054,0.0,tanh
800,0.0712387,0.0,tanh
800,0.117219776,0.0,tanh
1600,0.08656181,0.0,tanh
1600,0.09962317,0.0,tanh
1600,0.07858492,0.0,tanh
1600,0.05109363,0.0,tanh
1600,0.06807376,0.0,tanh
1600,0.073378116,0.0,tanh
1600,0.051889297,0.0,tanh
1600,0.08274072,0.0,tanh
1600,0.086354055,0.0,tanh
1600,0.050543975,0.0,tanh
3200,0.035969965,0.0,tanh
3200,0.051826164,0.0,tanh
3200,0.05437401,0.0,tanh
3200,0.05525777,0.0,tanh
3200,0.033265464,0.0,tanh
3200,0.06215494,0.0,tanh
3200,0.026333427,0.0,tanh
3200,0.05757307,0.0,tanh
3200,0.037555303,0.0,tanh
3200,0.052748352,0.0,tanh
6400,0.0114569245,0.0,tanh
6400,0.03440983,0.0,tanh
6400,0.024422616,0.0,tanh
6400,0.0096887415,0.0,tanh
6400,0.04568097,0.0,tanh
6400,0.03049164,0.0,tanh
6400,0.018235318,0.0,tanh
6400,0.027955977,0.0,tanh
6400,0.030687818,0.0,tanh
6400,0.0171087,0.0,tanh
12800,0.004211153,0.0,tanh
12800,0.021112934,0.0,tanh
12800,0.012208621,0.0,tanh
12800,0.024627462,0.0,tanh
12800,0.020347353,0.0,tanh
12800,0.010400819,0.0,tanh
12800,0.010132093,0.0,tanh
12800,0.024964178,0.0,tanh
12800,0.018377688,0.0,tanh
12800,0.008513106,0.0,tanh
200,0.2536062,0.001,tanh
200,0.34355813,0.001,tanh
200,0.2850795,0.001,tanh
200,0.19753465,0.001,tanh
200,0.33776563,0.001,tanh
200,0.27453008,0.001,tanh
200,0.24181347,0.001,tanh
200,0.23666427,0.001,tanh
200,0.30808622,0.001,tanh
200,0.357608,0.001,tanh
400,0.22815849,0.001,tanh
400,0.25053146,0.001,tanh
400,0.27133855,0.001,tanh
400,0.26238465,0.001,tanh
400,0.18531848,0.001,tanh
400,0.3477259,0.001,tanh
400,0.33482137,0.001,tanh
400,0.18040563,0.001,tanh
400,0.26035532,0.001,tanh
400,0.2273264,0.001,tanh
800,0.1759216,0.001,tanh
800,0.28653607,0.001,tanh
800,0.18908745,0.001,tanh
800,0.24404104,0.001,tanh
800,0.28811038,0.001,tanh
800,0.2622178,0.001,tanh
800,0.25288752,0.001,tanh
800,0.22431535,0.001,tanh
800,0.18757987,0.001,tanh
800,0.18238299,0.001,tanh
1600,0.22549184,0.001,tanh
1600,0.24232595,0.001,tanh
1600,0.16581732,0.001,tanh
1600,0.28141943,0.001,tanh
1600,0.23392686,0.001,tanh
1600,0.18213452,0.001,tanh
1600,0.22592707,0.001,tanh
1600,0.23716064,0.001,tanh
1600,0.2098492,0.001,tanh
1600,0.20001674,0.001,tanh
3200,0.23191454,0.001,tanh
3200,0.3018572,0.001,tanh
3200,0.24534501,0.001,tanh
3200,0.22862628,0.001,tanh
3200,0.25202107,0.001,tanh
3200,0.21984677,0.001,tanh
3200,0.245168,0.001,tanh
3200,0.26109862,0.001,tanh
3200,0.27512398,0.001,tanh
3200,0.2718277,0.001,tanh
6400,0.2809942,0.001,tanh
6400,0.36158332,0.001,tanh
6400,0.34929064,0.001,tanh
6400,0.3101482,0.001,tanh
6400,0.3309055,0.001,tanh
6400,0.30083317,0.001,tanh
6400,0.28935346,0.001,tanh
6400,0.2783798,0.001,tanh
6400,0.32386753,0.001,tanh
6400,0.36735693,0.001,tanh
12800,0.39008117,0.001,tanh
12800,0.39874062,0.001,tanh
12800,0.4205128,0.001,tanh
12800,0.4270712,0.001,tanh
12800,0.41422224,0.001,tanh
12800,0.4099296,0.001,tanh
12800,0.38562694,0.001,tanh
12800,0.38125923,0.001,tanh
12800,0.42145097,0.001,tanh
12800,0.40826523,0.001,tanh
200,0.3520161,0.002,tanh
200,0.33279696,0.002,tanh
200,0.3556293,0.002,tanh
200,0.42955855,0.002,tanh
200,0.45758757,0.002,tanh
200,0.32107434,0.002,tanh
200,0.3050717,0.002,tanh
200,0.41453317,0.002,tanh
200,0.42848554,0.002,tanh
200,0.36219868,0.002,tanh
400,0.42567474,0.002,tanh
400,0.3933873,0.002,tanh
400,0.3012006,0.002,tanh
400,0.27777195,0.002,tanh
400,0.35659555,0.002,tanh
400,0.40169263,0.002,tanh
400,0.37899074,0.002,tanh
400,0.36896285,0.002,tanh
400,0.3344366,0.002,tanh
400,0.4028957,0.002,tanh
800,0.37187555,0.002,tanh
800,0.3717864,0.002,tanh
800,0.3685647,0.002,tanh
800,0.3289137,0.002,tanh
800,0.4608156,0.002,tanh
800,0.31134304,0.002,tanh
800,0.40263402,0.002,tanh
800,0.38615727,0.002,tanh
800,0.40496868,0.002,tanh
800,0.4108974,0.002,tanh
1600,0.41827914,0.002,tanh
1600,0.45245242,0.002,tanh
1600,0.43080455,0.002,tanh
1600,0.391049,0.002,tanh
1600,0.3842471,0.002,tanh
1600,0.4662494,0.002,tanh
1600,0.46801656,0.002,tanh
1600,0.37459692,0.002,tanh
1600,0.43817025,0.002,tanh
1600,0.4648572,0.002,tanh
3200,0.4596286,0.002,tanh
3200,0.49567878,0.002,tanh
3200,0.44974616,0.002,tanh
3200,0.4691641,0.002,tanh
3200,0.5040926,0.002,tanh
3200,0.5085247,0.002,tanh
3200,0.47555372,0.002,tanh
3200,0.44022873,0.002,tanh
3200,0.46495435,0.002,tanh
3200,0.44596744,0.002,tanh
6400,0.5056568,0.002,tanh
6400,0.49955532,0.002,tanh
6400,0.51321244,0.002,tanh
6400,0.4773841,0.002,tanh
6400,0.4856181,0.002,tanh
6400,0.48902422,0.002,tanh
6400,0.48012787,0.002,tanh
6400,0.46871316,0.002,tanh
6400,0.4887984,0.002,tanh
6400,0.4814141,0.002,tanh
12800,0.51508105,0.002,tanh
12800,0.4773821,0.002,tanh
12800,0.47100526,0.002,tanh
12800,0.49015698,0.002,tanh
12800,0.52963936,0.002,tanh
12800,0.49171364,0.002,tanh
12800,0.4708623,0.002,tanh
12800,0.48526388,0.002,tanh
12800,0.49112654,0.002,tanh
12800,0.4657742,0.002,tanh
200,0.48409986,0.005,tanh
200,0.51225317,0.005,tanh
200,0.47218654,0.005,tanh
200,0.59648603,0.005,tanh
200,0.42528972,0.005,tanh
200,0.48629528,0.005,tanh
200,0.5120211,0.005,tanh
200,0.5040478,0.005,tanh
200,0.60201716,0.005,tanh
200,0.5326355,0.005,tanh
400,0.47230995,0.005,tanh
400,0.5279129,0.005,tanh
400,0.47401288,0.005,tanh
400,0.5351598,0.005,tanh
400,0.4440771,0.005,tanh
400,0.48977584,0.005,tanh
400,0.5037639,0.005,tanh
400,0.5254042,0.005,tanh
400,0.56750226,0.005,tanh
400,0.5592105,0.005,tanh
800,0.5874027,0.005,tanh
800,0.55644155,0.005,tanh
800,0.5418258,0.005,tanh
800,0.54273736,0.005,tanh
800,0.49236834,0.005,tanh
800,0.5543931,0.005,tanh
800,0.54550695,0.005,tanh
800,0.5387068,0.005,tanh
800,0.5186495,0.005,tanh
800,0.5241682,0.005,tanh
