$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.14167595,0.0,non
200,0.08822652,0.0,non
200,0.17426592,0.0,non
2400,0.06356924,0.0,non
2400,0.024685806,0.0,non
2400,-0.02939617,0.0,non
12800,0.0034270168,0.0,non
12800,-0.0013202879,0.0,non
12800,4.257519e-05,0.0,non
200,0.62927574,0.5,non
200,0.7010646,0.5,non
200,0.6690221,0.5,non
2400,0.611956,0.5,non
2400,0.695443,0.5,non
2400,0.678716,0.5,non
12800,0.65642816,0.5,non
12800,0.6789334,0.5,non
12800,0.6844293,0.5,non
200,0.7760234,1.0,non
200,0.71538585,1.0,non
200,0.780584,1.0,non
2400,0.8026188,1.0,non
2400,0.78722197,1.0,non
2400,0.7848176,1.0,non
12800,0.79570323,1.0,non
12800,0.77022845,1.0,non
12800,0.79996806,1.0,non
200,0.8048229,1.5,non
200,0.8208426,1.5,non
200,0.81806517,1.5,non
2400,0.8792751,1.5,non
2400,0.8221343,1.5,non
2400,0.85698557,1.5,non
12800,0.85593677,1.5,non
12800,0.83323115,1.5,non
12800,0.86019087,1.5,non
