$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.18843693,0.0,sigmoid
200,0.28390378,0.0,sigmoid
200,0.25118467,0.0,sigmoid
200,0.2521271,0.0,sigmoid
200,0.23152304,0.0,sigmoid
200,0.26086932,0.0,sigmoid
200,0.24282944,0.0,sigmoid
200,0.15863633,0.0,sigmoid
200,0.2443723,0.0,sigmoid
200,0.16449413,0.0,sigmoid
400,0.13615185,0.0,sigmoid
400,0.19530407,0.0,sigmoid
400,0.09038041,0.0,sigmoid
400,0.13312604,0.0,sigmoid
400,0.20562182,0.0,sigmoid
400,0.12594894,0.0,sigmoid
400,0.16041431,0.0,sigmoid
400,0.17841657,0.0,sigmoid
400,0.17044887,0.0,sigmoid
400,0.1736484,0.0,sigmoid
800,0.12095175,0.0,sigmoid
800,0.07826219,0.0,sigmoid
800,0.14135307,0.0,sigmoid
800,0.058246188,0.0,sigmoid
800,0.16768073,0.0,sigmoid
800,0.12371786,0.0,sigmoid
800,0.15052772,0.0,sigmoid
800,0.14353123,0.0,sigmoid
800,0.086972214,0.0,sigmoid
800,0.0904689,0.0,sigmoid
1600,0.08855617,0.0,sigmoid
1600,0.057133455,0.0,sigmoid
1600,0.088947386,0.0,sigmoid
1600,0.07459881,0.0,sigmoid
1600,0.040117897,0.0,sigmoid
1600,0.056700658,0.0,sigmoid
1600,0.086855955,0.0,sigmoid
1600,0.06618718,0.0,sigmoid
1600,0.05242809,0.0,sigmoid
1600,0.05498522,0.0,sigmoid
3200,0.044411134,0.0,sigmoid
3200,0.044438582,0.0,sigmoid
3200,0.030844862,0.0,sigmoid
3200,0.047015246,0.0,sigmoid
3200,0.063593216,0.0,sigmoid
3200,0.01922608,0.0,sigmoid
3200,0.038110115,0.0,sigmoid
3200,0.026475737,0.0,sigmoid
3200,0.052309833,0.0,sigmoid
3200,0.033680137,0.0,sigmoid
6400,0.0013024549,0.0,sigmoid
6400,0.04640445,0.0,sigmoid
6400,0.024805715,0.0,sigmoid
6400,0.020182678,0.0,sigmoid
6400,0.049676713,0.0,sigmoid
6400,0.028074743,0.0,sigmoid
6400,0.015456564,0.0,sigmoid
6400,0.025166018,0.0,sigmoid
6400,0.028484266,0.0,sigmoid
6400,0.005599451,0.0,sigmoid
12800,0.014602366,0.0,sigmoid
12800,0.010881762,0.0,sigmoid
12800,0.010047554,0.0,sigmoid
12800,0.0067579295,0.0,sigmoid
