$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.22969812,0.0,sigmoid
200,0.21180557,0.0,sigmoid
200,0.3012025,0.0,sigmoid
200,0.27082103,0.0,sigmoid
200,0.25254792,0.0,sigmoid
200,0.29292437,0.0,sigmoid
200,0.27171108,0.0,sigmoid
200,0.22619118,0.0,sigmoid
200,0.29522106,0.0,sigmoid
200,0.1681487,0.0,sigmoid
400,0.16876435,0.0,sigmoid
400,0.2044483,0.0,sigmoid
400,0.17074154,0.0,sigmoid
400,0.14911935,0.0,sigmoid
400,0.113823764,0.0,sigmoid
400,0.14926322,0.0,sigmoid
400,0.17583092,0.0,sigmoid
400,0.20090139,0.0,sigmoid
400,0.11387835,0.0,sigmoid
400,0.19229886,0.0,sigmoid
800,0.07292165,0.0,sigmoid
800,0.047098666,0.0,sigmoid
800,0.14895476,0.0,sigmoid
800,0.08119125,0.0,sigmoid
800,0.10912509,0.0,sigmoid
800,0.12815851,0.0,sigmoid
800,0.08074582,0.0,sigmoid
800,0.16425446,0.0,sigmoid
800,0.14302391,0.0,sigmoid
800,0.10892823,0.0,sigmoid
1600,0.085858844,0.0,sigmoid
1600,0.055139225,0.0,sigmoid
1600,0.054163583,0.0,sigmoid
1600,0.10718838,0.0,sigmoid
1600,0.06051973,0.0,sigmoid
1600,0.058460146,0.0,sigmoid
1600,0.053679608,0.0,sigmoid
1600,0.051896416,0.0,sigmoid
1600,0.055414483,0.0,sigmoid
1600,0.09912293,0.0,sigmoid
3200,0.024028238,0.0,sigmoid
3200,0.039315764,0.0,sigmoid
3200,0.018797418,0.0,sigmoid
3200,0.047443997,0.0,sigmoid
3200,0.043982804,0.0,sigmoid
3200,0.056492925,0.0,sigmoid
3200,0.043312784,0.0,sigmoid
3200,0.0515049,0.0,sigmoid
3200,0.03387238,0.0,sigmoid
3200,0.021744318,0.0,sigmoid
6400,0.02076896,0.0,sigmoid
6400,0.014151401,0.0,sigmoid
6400,0.027034702,0.0,sigmoid
6400,0.024578325,0.0,sigmoid
6400,0.032536905,0.0,sigmoid
6400,0.033442587,0.0,sigmoid
6400,0.051107857,0.0,sigmoid
6400,0.03628936,0.0,sigmoid
6400,0.017291987,0.0,sigmoid
6400,0.014269966,0.0,sigmoid
12800,0.009694304,0.0,sigmoid
12800,0.0052734134,0.0,sigmoid
12800,0.03813154,0.0,sigmoid
12800,0.01803878,0.0,sigmoid
12800,0.0024032423,0.0,sigmoid
12800,0.0049841255,0.0,sigmoid
12800,0.026471542,0.0,sigmoid
12800,0.017431982,0.0,sigmoid
12800,0.03664031,0.0,sigmoid
12800,0.0043472354,0.0,sigmoid
200,0.32665816,0.001,sigmoid
200,0.35986298,0.001,sigmoid
200,0.28472063,0.001,sigmoid
200,0.3728995,0.001,sigmoid
200,0.37820902,0.001,sigmoid
200,0.49074492,0.001,sigmoid
200,0.3681621,0.001,sigmoid
200,0.35025245,0.001,sigmoid
200,0.2887085,0.001,sigmoid
200,0.30745164,0.001,sigmoid
400,0.25578988,0.001,sigmoid
400,0.27040935,0.001,sigmoid
400,0.30421835,0.001,sigmoid
400,0.30212313,0.001,sigmoid
400,0.18216494,0.001,sigmoid
400,0.32213658,0.001,sigmoid
400,0.28795332,0.001,sigmoid
400,0.2680969,0.001,sigmoid
400,0.22662511,0.001,sigmoid
400,0.24637203,0.001,sigmoid
800,0.21175022,0.001,sigmoid
800,0.19001831,0.001,sigmoid
800,0.2120922,0.001,sigmoid
800,0.19987813,0.001,sigmoid
800,0.24677752,0.001,sigmoid
800,0.2566719,0.001,sigmoid
800,0.22984248,0.001,sigmoid
800,0.20877573,0.001,sigmoid
800,0.1985551,0.001,sigmoid
800,0.20502754,0.001,sigmoid
1600,0.24708994,0.001,sigmoid
1600,0.20242535,0.001,sigmoid
1600,0.26300123,0.001,sigmoid
1600,0.24120241,0.001,sigmoid
1600,0.20141539,0.001,sigmoid
1600,0.21951674,0.001,sigmoid
1600,0.18502778,0.001,sigmoid
1600,0.21243326,0.001,sigmoid
1600,0.21094526,0.001,sigmoid
1600,0.18239349,0.001,sigmoid
3200,0.21994056,0.001,sigmoid
3200,0.27945223,0.001,sigmoid
3200,0.24561928,0.001,sigmoid
3200,0.23737964,0.001,sigmoid
3200,0.2751029,0.001,sigmoid
3200,0.29462585,0.001,sigmoid
3200,0.29528835,0.001,sigmoid
3200,0.19381657,0.001,sigmoid
3200,0.22691467,0.001,sigmoid
