Second Layer Vec Alignment,Second Layer Weight Alignment,Disentangled Alignment,Regularization $\lambda$,Step
-0.005910439882427454,-0.00695023313164711,-0.005827322602272034,0.0,0.0
-0.007569678593426943,-0.006133797112852335,-0.007175168953835964,0.0,100.0
-0.007574914488941431,-0.005190322175621986,-0.006616008467972279,0.0,200.0
-0.0063094813376665115,-0.006923634093254805,-0.006217844784259796,0.1,0.0
-0.006061019841581583,-0.006022621411830187,-0.005586534272879362,0.1,100.0
-0.0053357454016804695,-0.0048864614218473434,-0.0036984626203775406,0.1,200.0
-0.005975524429231882,-0.006863841786980629,-0.005850621033459902,0.3,0.0
-0.0075607625767588615,-0.005741378758102655,-0.006438116542994976,0.3,100.0
-0.0042164744809269905,-0.004160295706242323,0.0029002237133681774,0.3,200.0
