Loss,Accuracy,Regularization $\lambda$,Step
16.83152451171875,0.1532,0.0,0.0
13.679071533203125,0.2248,0.0,1000.0
11.45472724609375,0.2916,0.0,2000.0
9.804307641601563,0.3513,0.0,3000.0
8.56180224609375,0.3975,0.0,4000.0
7.610988037109375,0.4399,0.0,5000.0
6.8638847534179686,0.4757,0.0,6000.0
6.264526696777343,0.5059,0.0,7000.0
5.77853017578125,0.5314,0.0,8000.0
5.375403125,0.555,0.0,9000.0
5.039835607910156,0.5751,0.0,10000.0
4.753506005859375,0.5937,0.0,11000.0
4.5055247497558595,0.6102,0.0,12000.0
4.290037329101563,0.6224,0.0,13000.0
4.099201940917969,0.635,0.0,14000.0
3.9307431274414064,0.646,0.0,15000.0
3.7790037841796873,0.6576,0.0,16000.0
3.6428609741210938,0.6664,0.0,17000.0
3.5195014465332033,0.6738,0.0,18000.0
3.407976251220703,0.6819,0.0,19000.0
3.306798049926758,0.6906,0.0,20000.0
3.212636395263672,0.6971,0.0,21000.0
3.127151904296875,0.7045,0.0,22000.0
3.0482146240234376,0.7111,0.0,23000.0
2.9749063262939455,0.7173,0.0,24000.0
2.907953515625,0.723,0.0,25000.0
2.8449951721191407,0.728,0.0,26000.0
2.7861629425048826,0.7325,0.0,27000.0
2.7320634552001954,0.7373,0.0,28000.0
2.680794696044922,0.7423,0.0,29000.0
2.6327581115722656,0.7462,0.0,30000.0
2.587664831542969,0.7501,0.0,31000.0
2.5452521942138673,0.7541,0.0,32000.0
2.5048383758544923,0.7571,0.0,33000.0
2.4664306121826174,0.7589,0.0,34000.0
2.430172463989258,0.7628,0.0,35000.0
2.3956775054931643,0.7647,0.0,36000.0
2.3628817779541014,0.7678,0.0,37000.0
2.333147036743164,0.771,0.0,38000.0
2.3035979431152342,0.7747,0.0,39000.0
2.2750129318237304,0.7781,0.0,40000.0
2.247672425842285,0.7799,0.0,41000.0
2.2219635665893556,0.7826,0.0,42000.0
2.196780548095703,0.7844,0.0,43000.0
2.173346435546875,0.786,0.0,44000.0
2.1508601547241213,0.7884,0.0,45000.0
2.128379559326172,0.7897,0.0,46000.0
2.1072377853393554,0.791,0.0,47000.0
2.0863961837768557,0.7932,0.0,48000.0
2.06668883972168,0.7949,0.0,49000.0
2.0477159561157228,0.7961,0.0,50000.0
2.0301695266723634,0.798,0.0,51000.0
2.012002815246582,0.7997,0.0,52000.0
1.994398828125,0.8007,0.0,53000.0
1.9769874557495117,0.8018,0.0,54000.0
1.9612253158569335,0.8033,0.0,55000.0
1.945462144470215,0.805,0.0,56000.0
1.929851448059082,0.8057,0.0,57000.0
1.915425047302246,0.8073,0.0,58000.0
1.9002853485107423,0.8088,0.0,59000.0
1.8862092086791993,0.8103,0.0,60000.0
1.8728281524658204,0.8115,0.0,61000.0
1.8594744995117187,0.8127,0.0,62000.0
1.8462185607910155,0.8137,0.0,63000.0
1.8333380493164062,0.8157,0.0,64000.0
1.8208472396850586,0.8168,0.0,65000.0
1.8097353073120117,0.8175,0.0,66000.0
1.797467626953125,0.8188,0.0,67000.0
1.786146891784668,0.8202,0.0,68000.0
1.7752090377807617,0.8212,0.0,69000.0
1.7640752807617188,0.822,0.0,70000.0
1.7534586975097657,0.8229,0.0,71000.0
1.74262509765625,0.8237,0.0,72000.0
1.7328854370117188,0.8242,0.0,73000.0
1.7225545623779297,0.8259,0.0,74000.0
1.712877522277832,0.8263,0.0,75000.0
1.7031079650878906,0.8272,0.0,76000.0
1.693779734802246,0.8277,0.0,77000.0
1.685419172668457,0.8284,0.0,78000.0
1.676157356262207,0.8293,0.0,79000.0
1.6672723831176757,0.8308,0.0,80000.0
1.658272750854492,0.8314,0.0,81000.0
1.649770684814453,0.8322,0.0,82000.0
1.6412018188476563,0.8328,0.0,83000.0
1.6330456634521484,0.8332,0.0,84000.0
1.6251383987426757,0.8335,0.0,85000.0
1.6173377197265626,0.8338,0.0,86000.0
1.6095687652587891,0.8338,0.0,87000.0
1.6017913787841798,0.8344,0.0,88000.0
1.593992478942871,0.8346,0.0,89000.0
1.5859031219482422,0.8354,0.0,90000.0
1.5788481857299805,0.8361,0.0,91000.0
1.5722942840576173,0.8362,0.0,92000.0
1.565002294921875,0.8369,0.0,93000.0
1.5579839981079102,0.8369,0.0,94000.0
1.5510708984375,0.8372,0.0,95000.0
1.5448204803466796,0.8379,0.0,96000.0
1.5375308654785156,0.8385,0.0,97000.0
1.5313158615112306,0.8387,0.0,98000.0
1.5246532150268555,0.8393,0.0,99000.0
1.5178672760009766,0.84,0.0,100000.0
1.511936441040039,0.8403,0.0,101000.0
1.5055735443115235,0.8407,0.0,102000.0
1.4993850982666015,0.8413,0.0,103000.0
1.4936069412231445,0.8416,0.0,104000.0
1.4876160079956056,0.8418,0.0,105000.0
1.481711701965332,0.8421,0.0,106000.0
1.475555322265625,0.8431,0.0,107000.0
1.4699782180786132,0.8429,0.0,108000.0
1.4641129821777343,0.8431,0.0,109000.0
1.4583337127685547,0.8437,0.0,110000.0
1.4536827209472656,0.8436,0.0,111000.0
1.4474344909667969,0.8438,0.0,112000.0
1.4421795654296874,0.8446,0.0,113000.0
1.4369981842041015,0.8449,0.0,114000.0
1.431554623413086,0.845,0.0,115000.0
1.4258628479003905,0.8452,0.0,116000.0
1.4208157592773438,0.8455,0.0,117000.0
1.416268441772461,0.8463,0.0,118000.0
1.411011277770996,0.8462,0.0,119000.0
1.4063682418823242,0.847,0.0,120000.0
1.4015597564697266,0.8472,0.0,121000.0
1.396615926361084,0.8472,0.0,122000.0
1.3914123893737793,0.8481,0.0,123000.0
1.3867296844482422,0.8487,0.0,124000.0
1.3825627616882323,0.8483,0.0,125000.0
1.3778040824890136,0.8486,0.0,126000.0
1.373448973083496,0.849,0.0,127000.0
1.3685323364257813,0.8499,0.0,128000.0
1.364139722442627,0.8507,0.0,129000.0
1.3596502380371094,0.8505,0.0,130000.0
1.3555887496948242,0.851,0.0,131000.0
1.3514216697692871,0.8516,0.0,132000.0
1.3472405090332031,0.8517,0.0,133000.0
1.3430490325927735,0.8517,0.0,134000.0
1.3385590103149414,0.8525,0.0,135000.0
1.33447896194458,0.8528,0.0,136000.0
1.3304457359313966,0.8532,0.0,137000.0
1.3265329467773437,0.8536,0.0,138000.0
1.3223963638305665,0.8537,0.0,139000.0
1.3180098526000976,0.8541,0.0,140000.0
1.3141612464904786,0.8547,0.0,141000.0
1.3104506713867188,0.8549,0.0,142000.0
1.3067118713378907,0.8554,0.0,143000.0
1.302898346710205,0.8556,0.0,144000.0
1.298730168914795,0.8559,0.0,145000.0
1.2953266296386718,0.8565,0.0,146000.0
1.2915050704956055,0.8565,0.0,147000.0
1.2878798835754395,0.8568,0.0,148000.0
1.2840374984741212,0.8568,0.0,149000.0
1.2803537033081054,0.8575,0.0,150000.0
1.2773764961242675,0.8579,0.0,151000.0
1.2738338661193849,0.8584,0.0,152000.0
1.2701536041259767,0.8585,0.0,153000.0
1.266792155456543,0.8593,0.0,154000.0
1.2632854759216308,0.8588,0.0,155000.0
1.2599104331970215,0.8597,0.0,156000.0
1.25675990524292,0.86,0.0,157000.0
1.2530227424621583,0.8602,0.0,158000.0
1.249511166381836,0.8607,0.0,159000.0
1.2464837493896483,0.8609,0.0,160000.0
1.2427791763305664,0.8615,0.0,161000.0
1.2400230018615723,0.8618,0.0,162000.0
1.2365120880126954,0.8619,0.0,163000.0
1.233772930908203,0.8626,0.0,164000.0
1.2305841117858887,0.8628,0.0,165000.0
1.2273607048034667,0.8633,0.0,166000.0
1.2241781906127929,0.8635,0.0,167000.0
1.221406216430664,0.8635,0.0,168000.0
1.2181468536376954,0.864,0.0,169000.0
1.2156752212524413,0.8643,0.0,170000.0
1.2120002555847167,0.8644,0.0,171000.0
1.209397525024414,0.8648,0.0,172000.0
1.2065071311950684,0.8647,0.0,173000.0
1.2036532981872559,0.8651,0.0,174000.0
1.2004054656982421,0.8652,0.0,175000.0
1.1980748268127441,0.8659,0.0,176000.0
1.1948499855041503,0.8658,0.0,177000.0
1.1919658988952637,0.8663,0.0,178000.0
1.1888222846984864,0.8664,0.0,179000.0
1.186135814666748,0.8665,0.0,180000.0
1.1834808334350586,0.8668,0.0,181000.0
1.1806343399047852,0.8664,0.0,182000.0
1.1779711769104004,0.8671,0.0,183000.0
1.1751432334899903,0.8669,0.0,184000.0
1.1724115097045897,0.867,0.0,185000.0
1.1700734481811523,0.8676,0.0,186000.0
1.1675547302246094,0.8677,0.0,187000.0
1.1646459777832032,0.8678,0.0,188000.0
1.1618148078918458,0.8677,0.0,189000.0
1.1596545692443847,0.8684,0.0,190000.0
1.1569187225341797,0.8682,0.0,191000.0
1.1541436401367187,0.8682,0.0,192000.0
1.1518618659973145,0.8685,0.0,193000.0
1.1492972381591797,0.8684,0.0,194000.0
1.146737745666504,0.8685,0.0,195000.0
1.144268334197998,0.8688,0.0,196000.0
1.1418608543395996,0.8689,0.0,197000.0
1.139384740447998,0.8693,0.0,198000.0
1.1366401565551758,0.8696,0.0,199000.0
1.1344485427856446,0.8698,0.0,200000.0
1.1319181091308594,0.8701,0.0,201000.0
1.1296540802001953,0.8704,0.0,202000.0
1.12732430267334,0.8708,0.0,203000.0
1.1247632530212401,0.8708,0.0,204000.0
1.122440503692627,0.871,0.0,205000.0
1.1197709846496582,0.8711,0.0,206000.0
1.1176291656494142,0.8714,0.0,207000.0
1.115510195159912,0.8714,0.0,208000.0
1.1134600677490234,0.8718,0.0,209000.0
1.1109558837890625,0.8722,0.0,210000.0
1.1088002899169922,0.8723,0.0,211000.0
1.1067983673095703,0.8726,0.0,212000.0
1.104292113494873,0.8725,0.0,213000.0
1.1021602462768554,0.8728,0.0,214000.0
1.1002825859069825,0.8726,0.0,215000.0
1.0977435272216798,0.8732,0.0,216000.0
1.0954000953674317,0.8733,0.0,217000.0
1.093561279296875,0.8739,0.0,218000.0
1.0915792098999024,0.8739,0.0,219000.0
1.089354852294922,0.8741,0.0,220000.0
1.0871615707397462,0.8741,0.0,221000.0
1.0847226806640624,0.8743,0.0,222000.0
1.0827823852539062,0.8743,0.0,223000.0
1.0804448440551757,0.8744,0.0,224000.0
1.0787097969055175,0.8744,0.0,225000.0
1.0768498901367187,0.8744,0.0,226000.0
1.0746794830322266,0.8747,0.0,227000.0
1.0720622039794923,0.8751,0.0,228000.0
1.0702863647460938,0.8751,0.0,229000.0
1.068288430786133,0.8752,0.0,230000.0
