Second Layer Vec Alignment,Second Layer Weight Alignment,Disentangled Alignment,Regularization $\lambda$,Step
0.01652950793504715,0.013320142403244972,1.0,0.0,0.0
0.01749591715633869,0.013314357958734035,1.0,0.0,1000.0
0.01837490312755108,0.013310941867530346,1.0,0.0,2000.0
0.01792820170521736,0.013305919244885445,1.0,0.0,3000.0
0.01689070649445057,0.01330142468214035,0.9983406662940979,0.0,4000.0
0.017106017097830772,0.013296536169946194,0.9999953508377075,0.0,5000.0
0.015669764950871468,0.013291072100400925,1.0,0.0,6000.0
0.016550635918974876,0.013286478817462921,1.0,0.0,7000.0
0.01797410286962986,0.013281373307108879,1.0,0.0,8000.0
0.016516901552677155,0.013277794234454632,1.0,0.0,9000.0
0.017935561016201973,0.013275031931698322,1.0,0.0,10000.0
0.01731991209089756,0.013270688243210316,1.0,0.0,11000.0
0.015910524874925613,0.013265681453049183,1.0,0.0,12000.0
0.015959173440933228,0.013262403197586536,1.0,0.0,13000.0
0.01666732132434845,0.013258861377835274,1.0,0.0,14000.0
0.017842397093772888,0.013257650658488274,1.0,0.0,15000.0
0.01633276790380478,0.013254666700959206,1.0,0.0,16000.0
0.01882590726017952,0.013251393102109432,1.0,0.0,17000.0
0.015557477250695229,0.01324700377881527,1.0000094175338745,0.0,18000.0
0.015633301809430122,0.013244900852441788,1.0,0.0,19000.0
0.017177080735564232,0.013243804685771465,1.0,0.0,20000.0
0.01751280575990677,0.013242009095847607,1.0,0.0,21000.0
0.017115088179707527,0.013240143656730652,0.9999998211860657,0.0,22000.0
0.01678101345896721,0.013239647261798382,1.0,0.0,23000.0
0.016508154571056366,0.013237886130809784,1.0,0.0,24000.0
0.017643239349126816,0.013237932696938515,1.0,0.0,25000.0
0.016705982387065887,0.013237525708973408,1.0,0.0,26000.0
0.017708418890833855,0.013235549442470074,1.0,0.0,27000.0
0.016065984964370728,0.013235790655016899,1.0,0.0,28000.0
0.01704731024801731,0.013234752230346203,1.0,0.0,29000.0
0.0161830373108387,0.013235475867986679,0.9999998211860657,0.0,30000.0
0.016557354480028152,0.013235551305115223,1.0,0.0,31000.0
0.015357124619185925,0.013235107064247131,1.0,0.0,32000.0
0.016757715493440628,0.01323642022907734,0.9999563097953796,0.0,33000.0
0.017858510836958885,0.013236894272267818,1.0,0.0,34000.0
0.01783881150186062,0.013237809762358665,0.9983333349227905,0.0,35000.0
0.01651197113096714,0.013239105232059956,1.0,0.0,36000.0
0.01601625233888626,0.013240726664662361,1.000000238418579,0.0,37000.0
0.017792345955967903,0.013241715729236603,1.0,0.0,38000.0
0.017079152166843414,0.013242659159004688,1.0,0.0,39000.0
0.01674649491906166,0.013243233785033226,1.0,0.0,40000.0
0.01642782986164093,0.01324346475303173,1.0,0.0,41000.0
0.016925692558288574,0.013244695030152798,1.0,0.0,42000.0
0.014980101957917213,0.013245324604213238,1.0,0.0,43000.0
0.017263539135456085,0.013247388415038586,1.0,0.0,44000.0
0.018218517303466797,0.013248423114418983,1.0,0.0,45000.0
0.015768831595778465,0.013246997259557247,1.0,0.0,46000.0
0.01566830277442932,0.013248997740447521,1.0,0.0,47000.0
0.01632564887404442,0.013250237330794334,1.0,0.0,48000.0
0.016275666654109955,0.01325186062604189,1.0,0.0,49000.0
0.017297232523560524,0.013253106735646725,1.0,0.0,50000.0
0.015851255506277084,0.013256438076496124,1.0,0.0,51000.0
0.016125282272696495,0.013258660212159157,1.0,0.0,52000.0
0.016808345913887024,0.01326054148375988,1.0,0.0,53000.0
0.017204567790031433,0.01326271053403616,1.0,0.0,54000.0
0.016277147457003593,0.013264290988445282,1.0,0.0,55000.0
0.014651847071945667,0.013267667964100838,1.0,0.0,56000.0
0.016160359606146812,0.013269834220409393,1.0,0.0,57000.0
0.01578930765390396,0.013271037489175797,1.0,0.0,58000.0
0.01841299794614315,0.01327371597290039,1.0,0.0,59000.0
0.017387453466653824,0.013275710865855217,1.0,0.0,60000.0
0.01826629601418972,0.013278944417834282,1.0,0.0,61000.0
0.01765856333076954,0.01328356098383665,1.0,0.0,62000.0
0.016202852129936218,0.013287116773426533,1.0,0.0,63000.0
0.01282909233123064,0.013290118426084518,1.0,0.0,64000.0
0.01543568354099989,0.013293514959514141,1.0,0.0,65000.0
0.015697063878178596,0.01329532265663147,1.0,0.0,66000.0
0.01575368084013462,0.013298670761287212,1.0,0.0,67000.0
0.014662574045360088,0.01330210454761982,1.0,0.0,68000.0
0.01748846098780632,0.013306806795299053,1.0,0.0,69000.0
0.015752268955111504,0.01330883614718914,1.0000195503234863,0.0,70000.0
0.013445984572172165,0.013313309289515018,1.0,0.0,71000.0
0.01592143252491951,0.013317848555743694,1.0,0.0,72000.0
0.014835380017757416,0.013320492580533028,1.0,0.0,73000.0
0.01788894645869732,0.013324574567377567,1.0,0.0,74000.0
0.016133081167936325,0.013328727334737778,1.0,0.0,75000.0
0.015095960348844528,0.013333776034414768,1.0,0.0,76000.0
0.016125958412885666,0.013338631950318813,1.0,0.0,77000.0
0.014899206347763538,0.013341120444238186,1.0,0.0,78000.0
0.014453892596065998,0.013345126993954182,1.0,0.0,79000.0
0.01564558781683445,0.013349879533052444,1.0,0.0,80000.0
0.01654338836669922,0.01335513312369585,1.0,0.0,81000.0
0.01644158735871315,0.013360509648919106,1.0,0.0,82000.0
0.015901029109954834,0.01336468756198883,1.0,0.0,83000.0
0.015655530616641045,0.013370062224566936,1.0,0.0,84000.0
0.01643793284893036,0.013373645953834057,1.0,0.0,85000.0
0.014013024978339672,0.013376989401876926,1.0,0.0,86000.0
0.016514742746949196,0.013380853459239006,1.0,0.0,87000.0
0.01481130812317133,0.013385994359850883,1.0,0.0,88000.0
0.015382509678602219,0.01339065283536911,1.0,0.0,89000.0
0.016305865719914436,0.013396673835814,1.0,0.0,90000.0
0.015530358068645,0.013399956747889519,1.0,0.0,91000.0
0.017102651298046112,0.013406205922365189,1.0,0.0,92000.0
0.015483754687011242,0.013413815759122372,1.0,0.0,93000.0
0.015373524278402328,0.013418057933449745,1.0,0.0,94000.0
0.01628996804356575,0.013421809300780296,1.0,0.0,95000.0
0.014109372161328793,0.01342601329088211,1.0,0.0,96000.0
0.015853354707360268,0.01343250647187233,1.0,0.0,97000.0
0.014974962919950485,0.013436354696750641,1.0,0.0,98000.0
0.016438202932476997,0.013441678136587143,1.0,0.0,99000.0
0.015935419127345085,0.01332103367894888,1.0,0.1,0.0
0.015814442187547684,0.013315277174115181,1.0,0.1,1000.0
0.016940215602517128,0.013308999128639698,1.0,0.1,2000.0
0.015241903252899647,0.013304467312991619,1.0,0.1,3000.0
0.014861873351037502,0.01329921092838049,1.0000003576278687,0.1,4000.0
0.01640813611447811,0.01329309307038784,1.0,0.1,5000.0
0.01808748207986355,0.013289344497025013,1.0,0.1,6000.0
0.015945537015795708,0.013285753317177296,1.0000004768371582,0.1,7000.0
0.017698919400572777,0.013280455954372883,1.0,0.1,8000.0
0.018058758229017258,0.013276505284011364,1.0,0.1,9000.0
0.015104295685887337,0.013272861950099468,1.0,0.1,10000.0
