$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
3200,0.47568664,0.3,non
6400,0.51072174,0.3,non
6400,0.54772735,0.3,non
6400,0.54558873,0.3,non
6400,0.5406896,0.3,non
6400,0.55305296,0.3,non
6400,0.4996856,0.3,non
6400,0.48067406,0.3,non
6400,0.4951911,0.3,non
6400,0.5660708,0.3,non
6400,0.54851526,0.3,non
12800,0.56724393,0.3,non
12800,0.5579193,0.3,non
12800,0.5342223,0.3,non
12800,0.5494939,0.3,non
12800,0.417555,0.3,non
12800,0.5689645,0.3,non
12800,0.51363486,0.3,non
12800,0.5458313,0.3,non
12800,0.44313288,0.3,non
12800,0.5484179,0.3,non
200,0.5991887,0.5,non
200,0.62946767,0.5,non
200,0.6654263,0.5,non
200,0.6226878,0.5,non
200,0.691955,0.5,non
200,0.6283069,0.5,non
200,0.54730713,0.5,non
200,0.59275085,0.5,non
200,0.6289034,0.5,non
200,0.5703665,0.5,non
400,0.64305335,0.5,non
400,0.63354003,0.5,non
400,0.6043095,0.5,non
400,0.6129468,0.5,non
400,0.6177393,0.5,non
400,0.675335,0.5,non
400,0.608696,0.5,non
400,0.6468913,0.5,non
400,0.5625063,0.5,non
400,0.6948538,0.5,non
800,0.65248966,0.5,non
800,0.64426666,0.5,non
800,0.5502777,0.5,non
800,0.671915,0.5,non
800,0.6441346,0.5,non
800,0.6383551,0.5,non
800,0.6667089,0.5,non
800,0.58599263,0.5,non
800,0.661887,0.5,non
800,0.68460244,0.5,non
1600,0.64510447,0.5,non
1600,0.663374,0.5,non
1600,0.70378655,0.5,non
1600,0.6449716,0.5,non
1600,0.65441287,0.5,non
1600,0.6774641,0.5,non
1600,0.6635555,0.5,non
1600,0.61989176,0.5,non
1600,0.6285658,0.5,non
1600,0.6518027,0.5,non
3200,0.63820577,0.5,non
3200,0.6794488,0.5,non
3200,0.6822429,0.5,non
3200,0.64290357,0.5,non
3200,0.65107906,0.5,non
3200,0.6500407,0.5,non
3200,0.6694267,0.5,non
3200,0.68368196,0.5,non
3200,0.6591064,0.5,non
3200,0.62985086,0.5,non
6400,0.6464081,0.5,non
6400,0.58767575,0.5,non
6400,0.70780516,0.5,non
6400,0.65716577,0.5,non
6400,0.658486,0.5,non
6400,0.6523176,0.5,non
6400,0.6563196,0.5,non
6400,0.6272785,0.5,non
6400,0.61190593,0.5,non
6400,0.6689486,0.5,non
12800,0.6553906,0.5,non
12800,0.67535084,0.5,non
12800,0.67871416,0.5,non
12800,0.6645316,0.5,non
12800,0.6385756,0.5,non
12800,0.6855352,0.5,non
12800,0.7249187,0.5,non
12800,0.65469486,0.5,non
12800,0.6913095,0.5,non
12800,0.64944094,0.5,non
