$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
12800,0.4411366,0.9,tanh
12800,0.43835324,0.9,tanh
12800,0.43808243,0.9,tanh
12800,0.46165305,0.9,tanh
12800,0.45166215,0.9,tanh
12800,0.455605,0.9,tanh
12800,0.45144117,0.9,tanh
12800,0.41365495,0.9,tanh
12800,0.46712452,0.9,tanh
12800,0.35116068,0.9,tanh
12800,0.33367977,0.9,tanh
12800,0.47793323,0.9,tanh
12800,0.4551899,0.9,tanh
12800,0.44577459,0.9,tanh
