$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.2482488,0.0,tanh
200,0.2232313,0.0,tanh
800,0.07877447,0.0,tanh
800,0.092625976,0.0,tanh
3200,0.057709508,0.0,tanh
3200,0.03348732,0.0,tanh
12800,0.015182804,0.0,tanh
12800,0.02166151,0.0,tanh
200,0.62293327,0.5,tanh
200,0.61370575,0.5,tanh
800,0.5593886,0.5,tanh
800,0.55794865,0.5,tanh
3200,0.4720977,0.5,tanh
3200,0.47120577,0.5,tanh
12800,0.029078804,0.5,tanh
12800,0.018500013,0.5,tanh
200,0.67570704,0.7,tanh
200,0.6874653,0.7,tanh
800,0.57184625,0.7,tanh
800,0.55207443,0.7,tanh
3200,0.53445095,0.7,tanh
3200,0.50327426,0.7,tanh
12800,0.49782404,0.7,tanh
12800,0.44153333,0.7,tanh
200,0.7640277,0.9,tanh
200,0.74440384,0.9,tanh
800,0.6149397,0.9,tanh
800,0.6483246,0.9,tanh
3200,0.58403015,0.9,tanh
3200,0.5457781,0.9,tanh
12800,0.48451403,0.9,tanh
12800,0.48775274,0.9,tanh
