Loss,Accuracy,Regularization $\lambda$,Step
19.94670869140625,0.1216,0.0,0.0
14.97549580078125,0.1741,0.0,1000.0
11.9904173828125,0.2507,0.0,2000.0
10.051227099609376,0.3209,0.0,3000.0
8.69902861328125,0.3826,0.0,4000.0
7.713056372070312,0.435,0.0,5000.0
6.96053447265625,0.4748,0.0,6000.0
6.371550463867187,0.5085,0.0,7000.0
5.895268444824219,0.5356,0.0,8000.0
5.50638544921875,0.5618,0.0,9000.0
5.177308618164062,0.5821,0.0,10000.0
4.898707531738281,0.597,0.0,11000.0
4.65719833984375,0.6122,0.0,12000.0
4.446088024902344,0.6273,0.0,13000.0
4.2605712097167965,0.6407,0.0,14000.0
4.095590075683594,0.6523,0.0,15000.0
3.948013909912109,0.6634,0.0,16000.0
3.814630633544922,0.6727,0.0,17000.0
3.694152294921875,0.6797,0.0,18000.0
3.5850372802734376,0.6869,0.0,19000.0
3.4836670166015624,0.6932,0.0,20000.0
3.391159228515625,0.7002,0.0,21000.0
3.305937957763672,0.706,0.0,22000.0
3.226503106689453,0.711,0.0,23000.0
3.153486877441406,0.7159,0.0,24000.0
3.0846572692871095,0.7222,0.0,25000.0
3.0207135986328124,0.7278,0.0,26000.0
2.9605588653564454,0.7318,0.0,27000.0
2.9040871765136718,0.7352,0.0,28000.0
2.85143913269043,0.7395,0.0,29000.0
2.8013400390625,0.7426,0.0,30000.0
2.753501678466797,0.746,0.0,31000.0
2.709299087524414,0.75,0.0,32000.0
2.6673113189697264,0.7526,0.0,33000.0
2.6266088073730467,0.7553,0.0,34000.0
2.5889500549316407,0.7587,0.0,35000.0
2.5525628356933594,0.7617,0.0,36000.0
2.51845876159668,0.7647,0.0,37000.0
2.485141229248047,0.7673,0.0,38000.0
2.453677764892578,0.7701,0.0,39000.0
2.423583871459961,0.773,0.0,40000.0
2.3946660552978516,0.7751,0.0,41000.0
2.366893307495117,0.7768,0.0,42000.0
2.3403671081542967,0.7788,0.0,43000.0
2.314308361816406,0.7798,0.0,44000.0
2.290591000366211,0.782,0.0,45000.0
2.265998596191406,0.7835,0.0,46000.0
2.243421453857422,0.786,0.0,47000.0
2.22083303527832,0.7874,0.0,48000.0
2.1996618072509766,0.7889,0.0,49000.0
2.1794319671630857,0.79,0.0,50000.0
2.158521711730957,0.7918,0.0,51000.0
2.1393863082885742,0.7933,0.0,52000.0
2.1204519668579103,0.7943,0.0,53000.0
2.102337745666504,0.7948,0.0,54000.0
2.0849455657958984,0.7968,0.0,55000.0
2.0677675125122073,0.7981,0.0,56000.0
2.051417988586426,0.7993,0.0,57000.0
2.0351865158081055,0.8011,0.0,58000.0
2.0198227294921876,0.8029,0.0,59000.0
2.0038955017089846,0.8042,0.0,60000.0
1.9887454330444336,0.8056,0.0,61000.0
1.9740587158203124,0.8069,0.0,62000.0
1.959816259765625,0.8081,0.0,63000.0
1.9460395095825196,0.8094,0.0,64000.0
1.9324636932373047,0.81,0.0,65000.0
1.918879705810547,0.8121,0.0,66000.0
1.9063658889770507,0.8124,0.0,67000.0
1.8938755172729491,0.8132,0.0,68000.0
1.881559719848633,0.8144,0.0,69000.0
1.8693024475097657,0.815,0.0,70000.0
1.8582997482299806,0.8154,0.0,71000.0
1.846249530029297,0.8172,0.0,72000.0
1.8354259811401368,0.8167,0.0,73000.0
1.8244229782104493,0.817,0.0,74000.0
1.8133975341796875,0.8183,0.0,75000.0
1.8033585296630859,0.8193,0.0,76000.0
1.7929337905883789,0.8202,0.0,77000.0
1.782622169494629,0.8211,0.0,78000.0
1.7730566711425781,0.8223,0.0,79000.0
1.7632156494140625,0.8239,0.0,80000.0
1.7538934600830078,0.8246,0.0,81000.0
1.7442331436157226,0.8255,0.0,82000.0
1.7350829986572265,0.8263,0.0,83000.0
1.7263320617675781,0.8271,0.0,84000.0
1.7176313858032226,0.8286,0.0,85000.0
1.7087089752197266,0.8294,0.0,86000.0
1.7004781677246095,0.8306,0.0,87000.0
1.692230354309082,0.8313,0.0,88000.0
1.6840457229614259,0.8324,0.0,89000.0
1.6762124771118163,0.8327,0.0,90000.0
1.6679786865234374,0.833,0.0,91000.0
1.6604470489501952,0.8331,0.0,92000.0
1.6526985595703125,0.8338,0.0,93000.0
1.6450337005615234,0.8344,0.0,94000.0
1.6376861862182617,0.8355,0.0,95000.0
1.630559979248047,0.8354,0.0,96000.0
1.6236538681030273,0.8364,0.0,97000.0
1.6165778747558595,0.8367,0.0,98000.0
1.609716591644287,0.837,0.0,99000.0
1.6030404518127441,0.8377,0.0,100000.0
1.5960701797485353,0.8385,0.0,101000.0
1.589711122894287,0.8387,0.0,102000.0
1.582623836517334,0.8389,0.0,103000.0
1.5763264892578126,0.8396,0.0,104000.0
1.5702238754272462,0.8405,0.0,105000.0
1.564168007659912,0.8408,0.0,106000.0
1.5577428230285644,0.8415,0.0,107000.0
1.5519059577941894,0.8425,0.0,108000.0
1.5460333099365235,0.8434,0.0,109000.0
1.5398093696594237,0.8442,0.0,110000.0
1.5341577041625976,0.8452,0.0,111000.0
1.5284099784851075,0.8451,0.0,112000.0
1.5230392028808595,0.8456,0.0,113000.0
1.5175190048217773,0.8458,0.0,114000.0
1.511665348815918,0.8463,0.0,115000.0
1.5058921180725098,0.847,0.0,116000.0
1.5005443740844726,0.8478,0.0,117000.0
1.4952348403930664,0.8481,0.0,118000.0
1.4899627311706543,0.8485,0.0,119000.0
1.4845960441589356,0.8492,0.0,120000.0
1.4798398254394531,0.8497,0.0,121000.0
1.4746278915405273,0.8501,0.0,122000.0
1.4694378486633302,0.8505,0.0,123000.0
1.4646923301696777,0.8506,0.0,124000.0
1.4595944953918456,0.8509,0.0,125000.0
1.4551340255737304,0.8519,0.0,126000.0
1.4499782684326172,0.8516,0.0,127000.0
1.445150682067871,0.8521,0.0,128000.0
1.440520157623291,0.8523,0.0,129000.0
1.4361905395507812,0.8528,0.0,130000.0
1.4314720413208009,0.8533,0.0,131000.0
1.4269287483215332,0.8539,0.0,132000.0
1.4223297370910644,0.8539,0.0,133000.0
1.4176734176635741,0.8543,0.0,134000.0
1.413394630432129,0.8542,0.0,135000.0
1.409003295135498,0.8545,0.0,136000.0
1.4047922119140626,0.8554,0.0,137000.0
1.4004875495910645,0.8552,0.0,138000.0
1.3964768844604492,0.8558,0.0,139000.0
1.3920695640563965,0.8558,0.0,140000.0
1.388208246612549,0.856,0.0,141000.0
1.384117428588867,0.8557,0.0,142000.0
1.3801428047180175,0.8564,0.0,143000.0
1.3758985466003417,0.857,0.0,144000.0
1.371990463256836,0.8572,0.0,145000.0
1.3681863204956055,0.8575,0.0,146000.0
1.3639101928710937,0.8575,0.0,147000.0
1.3598835327148437,0.8582,0.0,148000.0
1.3560798103332519,0.8587,0.0,149000.0
1.3521140480041505,0.8588,0.0,150000.0
1.3485519668579102,0.8593,0.0,151000.0
1.3448303909301758,0.859,0.0,152000.0
1.3411684852600099,0.8598,0.0,153000.0
1.3376717361450194,0.8604,0.0,154000.0
1.3338439743041992,0.8612,0.0,155000.0
1.3301863014221191,0.8614,0.0,156000.0
1.326658699798584,0.8617,0.0,157000.0
1.3229499458312988,0.862,0.0,158000.0
1.3194708145141603,0.8629,0.0,159000.0
1.3159600997924805,0.8629,0.0,160000.0
1.3124032051086425,0.8634,0.0,161000.0
1.3090159629821778,0.864,0.0,162000.0
1.305978115081787,0.8645,0.0,163000.0
1.302682172393799,0.8652,0.0,164000.0
1.2990170768737792,0.8646,0.0,165000.0
1.2956785064697265,0.8656,0.0,166000.0
1.2923218864440917,0.8657,0.0,167000.0
1.2890299133300782,0.8658,0.0,168000.0
1.2856767768859862,0.8657,0.0,169000.0
1.282598607635498,0.8664,0.0,170000.0
1.2793625411987304,0.867,0.0,171000.0
1.2764771873474121,0.867,0.0,172000.0
1.273277328491211,0.8672,0.0,173000.0
1.2699914611816405,0.8673,0.0,174000.0
1.2673838386535645,0.8679,0.0,175000.0
1.2640249282836915,0.8679,0.0,176000.0
1.2611990257263184,0.8683,0.0,177000.0
1.2581796173095703,0.8685,0.0,178000.0
1.2548289184570312,0.8687,0.0,179000.0
1.2519439323425292,0.8684,0.0,180000.0
1.2492185089111327,0.8686,0.0,181000.0
1.2461992286682129,0.8688,0.0,182000.0
1.2433254264831544,0.8688,0.0,183000.0
1.240435415649414,0.8691,0.0,184000.0
1.2374071968078613,0.869,0.0,185000.0
1.2348325759887695,0.8696,0.0,186000.0
1.2320239517211915,0.8698,0.0,187000.0
1.229312377166748,0.8699,0.0,188000.0
1.2263320030212401,0.87,0.0,189000.0
1.2235670989990235,0.8702,0.0,190000.0
1.220710708618164,0.8705,0.0,191000.0
1.2182646362304688,0.871,0.0,192000.0
1.2157772575378418,0.8712,0.0,193000.0
1.2127347770690917,0.8713,0.0,194000.0
1.2100704391479493,0.8717,0.0,195000.0
1.207535964202881,0.8717,0.0,196000.0
1.2049110412597657,0.872,0.0,197000.0
1.2023509559631347,0.8721,0.0,198000.0
1.1999099990844726,0.8721,0.0,199000.0
1.1971093742370607,0.8724,0.0,200000.0
1.1946399971008301,0.8722,0.0,201000.0
1.1919669811248779,0.8721,0.0,202000.0
1.1894921401977538,0.8725,0.0,203000.0
1.1867458885192872,0.8728,0.0,204000.0
1.184376188659668,0.8733,0.0,205000.0
1.1820668128967284,0.8734,0.0,206000.0
1.1793084163665772,0.8732,0.0,207000.0
1.1769803508758545,0.8738,0.0,208000.0
1.1744126064300537,0.8737,0.0,209000.0
1.1719676597595214,0.874,0.0,210000.0
1.1695883270263672,0.8741,0.0,211000.0
1.167462071609497,0.8746,0.0,212000.0
1.1651640739440918,0.8749,0.0,213000.0
1.1628449596405028,0.8743,0.0,214000.0
1.160160525894165,0.875,0.0,215000.0
1.157618009185791,0.8745,0.0,216000.0
1.1555991638183594,0.875,0.0,217000.0
1.153192111968994,0.8752,0.0,218000.0
1.1508912696838378,0.8753,0.0,219000.0
1.148476033782959,0.8757,0.0,220000.0
1.1463895824432373,0.8758,0.0,221000.0
1.1442080856323242,0.876,0.0,222000.0
1.1417185081481933,0.8763,0.0,223000.0
1.1395831787109374,0.8763,0.0,224000.0
1.1373801975250244,0.8765,0.0,225000.0
1.1350655250549317,0.8771,0.0,226000.0
1.1328318332672118,0.8771,0.0,227000.0
1.1308992797851563,0.8767,0.0,228000.0
1.1286272121429444,0.8771,0.0,229000.0
1.1263542758941651,0.8776,0.0,230000.0
1.1241081016540528,0.8777,0.0,231000.0
1.1220261276245118,0.8779,0.0,232000.0
