$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.25062522,0.0,sigmoid
200,0.2667926,0.0,sigmoid
200,0.30973685,0.0,sigmoid
200,0.19892159,0.0,sigmoid
200,0.2372903,0.0,sigmoid
200,0.2937668,0.0,sigmoid
200,0.21595292,0.0,sigmoid
200,0.23505943,0.0,sigmoid
200,0.14769602,0.0,sigmoid
200,0.15512234,0.0,sigmoid
400,0.10848826,0.0,sigmoid
400,0.15434428,0.0,sigmoid
400,0.08295422,0.0,sigmoid
400,0.14383587,0.0,sigmoid
400,0.14896657,0.0,sigmoid
400,0.207658,0.0,sigmoid
400,0.23309006,0.0,sigmoid
400,0.16046187,0.0,sigmoid
400,0.15314412,0.0,sigmoid
400,0.16613117,0.0,sigmoid
800,0.12272906,0.0,sigmoid
800,0.1391887,0.0,sigmoid
800,0.10145224,0.0,sigmoid
800,0.13862567,0.0,sigmoid
800,0.10403778,0.0,sigmoid
800,0.12260588,0.0,sigmoid
800,0.08365648,0.0,sigmoid
800,0.1553832,0.0,sigmoid
800,0.099546134,0.0,sigmoid
800,0.089750625,0.0,sigmoid
1600,0.068384826,0.0,sigmoid
1600,0.06306107,0.0,sigmoid
1600,0.07290966,0.0,sigmoid
1600,0.103683084,0.0,sigmoid
1600,0.07112323,0.0,sigmoid
1600,0.09362944,0.0,sigmoid
1600,0.08640903,0.0,sigmoid
1600,0.05024446,0.0,sigmoid
1600,0.029885411,0.0,sigmoid
1600,0.09248464,0.0,sigmoid
3200,0.03195208,0.0,sigmoid
3200,0.011048318,0.0,sigmoid
3200,0.027507871,0.0,sigmoid
3200,0.07332683,0.0,sigmoid
3200,0.059973273,0.0,sigmoid
3200,0.03474021,0.0,sigmoid
3200,0.06255629,0.0,sigmoid
3200,0.024133567,0.0,sigmoid
3200,0.042407986,0.0,sigmoid
3200,0.012078342,0.0,sigmoid
6400,0.03209346,0.0,sigmoid
6400,0.025144638,0.0,sigmoid
6400,0.025855599,0.0,sigmoid
6400,0.03994106,0.0,sigmoid
6400,0.030043242,0.0,sigmoid
6400,0.014472617,0.0,sigmoid
6400,0.024340102,0.0,sigmoid
6400,0.034514684,0.0,sigmoid
6400,0.034244582,0.0,sigmoid
6400,0.026174702,0.0,sigmoid
12800,0.0057121357,0.0,sigmoid
12800,0.015095676,0.0,sigmoid
12800,0.014397594,0.0,sigmoid
12800,0.01555804,0.0,sigmoid
12800,0.008699044,0.0,sigmoid
12800,0.017879065,0.0,sigmoid
12800,0.0028828154,0.0,sigmoid
12800,-0.0036157963,0.0,sigmoid
12800,0.0077105365,0.0,sigmoid
12800,0.016622394,0.0,sigmoid
200,0.36574477,0.001,sigmoid
200,0.29974568,0.001,sigmoid
200,0.38284606,0.001,sigmoid
200,0.29724112,0.001,sigmoid
200,0.47942013,0.001,sigmoid
200,0.23095714,0.001,sigmoid
200,0.29442516,0.001,sigmoid
200,0.3606733,0.001,sigmoid
200,0.24278094,0.001,sigmoid
200,0.24593036,0.001,sigmoid
400,0.25899535,0.001,sigmoid
400,0.28778616,0.001,sigmoid
400,0.28595066,0.001,sigmoid
400,0.2128411,0.001,sigmoid
400,0.251006,0.001,sigmoid
400,0.21891196,0.001,sigmoid
400,0.28539458,0.001,sigmoid
400,0.23145056,0.001,sigmoid
400,0.22836077,0.001,sigmoid
400,0.22896485,0.001,sigmoid
800,0.2596241,0.001,sigmoid
800,0.2240704,0.001,sigmoid
800,0.2444471,0.001,sigmoid
800,0.16656752,0.001,sigmoid
800,0.22368054,0.001,sigmoid
800,0.20391409,0.001,sigmoid
800,0.2623735,0.001,sigmoid
800,0.2037636,0.001,sigmoid
800,0.17452917,0.001,sigmoid
800,0.212995,0.001,sigmoid
1600,0.2437037,0.001,sigmoid
1600,0.17912142,0.001,sigmoid
1600,0.24517055,0.001,sigmoid
1600,0.24037547,0.001,sigmoid
1600,0.21440288,0.001,sigmoid
1600,0.22401172,0.001,sigmoid
1600,0.19093074,0.001,sigmoid
1600,0.2331545,0.001,sigmoid
1600,0.22186726,0.001,sigmoid
1600,0.23393779,0.001,sigmoid
3200,0.28690007,0.001,sigmoid
3200,0.2908784,0.001,sigmoid
3200,0.25176007,0.001,sigmoid
3200,0.27705863,0.001,sigmoid
3200,0.2313299,0.001,sigmoid
3200,0.24557002,0.001,sigmoid
3200,0.28085953,0.001,sigmoid
3200,0.24123894,0.001,sigmoid
3200,0.26720917,0.001,sigmoid
3200,0.23311125,0.001,sigmoid
6400,0.3169967,0.001,sigmoid
6400,0.35578427,0.001,sigmoid
6400,0.2984289,0.001,sigmoid
6400,0.33178958,0.001,sigmoid
6400,0.3591875,0.001,sigmoid
6400,0.26455367,0.001,sigmoid
6400,0.3267725,0.001,sigmoid
6400,0.31690657,0.001,sigmoid
6400,0.3131352,0.001,sigmoid
6400,0.32624733,0.001,sigmoid
12800,0.41786754,0.001,sigmoid
12800,0.4122389,0.001,sigmoid
12800,0.4066031,0.001,sigmoid
12800,0.4509066,0.001,sigmoid
12800,0.43583265,0.001,sigmoid
12800,0.39622483,0.001,sigmoid
12800,0.42013705,0.001,sigmoid
12800,0.3541933,0.001,sigmoid
12800,0.36816743,0.001,sigmoid
12800,0.42983973,0.001,sigmoid
200,0.45953578,0.003,sigmoid
200,0.4790881,0.003,sigmoid
200,0.46045378,0.003,sigmoid
200,0.4885687,0.003,sigmoid
200,0.4329676,0.003,sigmoid
200,0.51619947,0.003,sigmoid
200,0.5858207,0.003,sigmoid
200,0.37526172,0.003,sigmoid
200,0.48317146,0.003,sigmoid
200,0.5912688,0.003,sigmoid
400,0.5383437,0.003,sigmoid
400,0.49749774,0.003,sigmoid
400,0.5284664,0.003,sigmoid
400,0.46363083,0.003,sigmoid
400,0.5432341,0.003,sigmoid
400,0.46848956,0.003,sigmoid
400,0.49240753,0.003,sigmoid
400,0.48008993,0.003,sigmoid
400,0.39178604,0.003,sigmoid
400,0.4444494,0.003,sigmoid
800,0.5748787,0.003,sigmoid
800,0.5204587,0.003,sigmoid
800,0.5391198,0.003,sigmoid
800,0.50146097,0.003,sigmoid
800,0.51752365,0.003,sigmoid
800,0.5301025,0.003,sigmoid
800,0.5487673,0.003,sigmoid
800,0.5650816,0.003,sigmoid
800,0.534207,0.003,sigmoid
800,0.5045683,0.003,sigmoid
1600,0.5993119,0.003,sigmoid
1600,0.49546537,0.003,sigmoid
1600,0.5430122,0.003,sigmoid
1600,0.54154116,0.003,sigmoid
1600,0.57539916,0.003,sigmoid
1600,0.580944,0.003,sigmoid
1600,0.5381951,0.003,sigmoid
1600,0.5626737,0.003,sigmoid
1600,0.56356287,0.003,sigmoid
1600,0.55378854,0.003,sigmoid
3200,0.58703715,0.003,sigmoid
3200,0.5925738,0.003,sigmoid
3200,0.5830209,0.003,sigmoid
3200,0.57791936,0.003,sigmoid
3200,0.5829731,0.003,sigmoid
3200,0.54156464,0.003,sigmoid
3200,0.56249315,0.003,sigmoid
3200,0.62275434,0.003,sigmoid
3200,0.6090962,0.003,sigmoid
3200,0.6152017,0.003,sigmoid
6400,0.6054695,0.003,sigmoid
6400,0.5445465,0.003,sigmoid
6400,0.54990506,0.003,sigmoid
6400,0.57261693,0.003,sigmoid
6400,0.58574015,0.003,sigmoid
6400,0.5892591,0.003,sigmoid
6400,0.57149196,0.003,sigmoid
6400,0.60405135,0.003,sigmoid
6400,0.5776187,0.003,sigmoid
6400,0.60025567,0.003,sigmoid
12800,0.56116253,0.003,sigmoid
12800,0.56400365,0.003,sigmoid
12800,0.5921974,0.003,sigmoid
12800,0.6049073,0.003,sigmoid
12800,0.62224394,0.003,sigmoid
12800,0.5692799,0.003,sigmoid
12800,0.6129163,0.003,sigmoid
12800,0.5606542,0.003,sigmoid
12800,0.5366755,0.003,sigmoid
12800,0.5682285,0.003,sigmoid
200,0.5497428,0.01,sigmoid
200,0.6476271,0.01,sigmoid
200,0.7476782,0.01,sigmoid
200,0.70479006,0.01,sigmoid
200,0.659749,0.01,sigmoid
200,0.6992592,0.01,sigmoid
200,0.6985044,0.01,sigmoid
200,0.6582608,0.01,sigmoid
200,0.67054605,0.01,sigmoid
200,0.6055537,0.01,sigmoid
400,0.5718599,0.01,sigmoid
400,0.6699328,0.01,sigmoid
400,0.6753128,0.01,sigmoid
400,0.60199976,0.01,sigmoid
400,0.6559721,0.01,sigmoid
400,0.6750165,0.01,sigmoid
400,0.6504588,0.01,sigmoid
400,0.61173284,0.01,sigmoid
400,0.69983435,0.01,sigmoid
400,0.6817859,0.01,sigmoid
800,0.6769272,0.01,sigmoid
800,0.68132085,0.01,sigmoid
800,0.6698992,0.01,sigmoid
800,0.6650709,0.01,sigmoid
800,0.70634407,0.01,sigmoid
800,0.6573786,0.01,sigmoid
800,0.6883047,0.01,sigmoid
800,0.6933983,0.01,sigmoid
800,0.6635665,0.01,sigmoid
800,0.51437837,0.01,sigmoid
1600,0.6621341,0.01,sigmoid
1600,0.64473826,0.01,sigmoid
1600,0.625385,0.01,sigmoid
1600,0.65263987,0.01,sigmoid
1600,0.64434415,0.01,sigmoid
1600,0.6850699,0.01,sigmoid
1600,0.60814565,0.01,sigmoid
1600,0.635334,0.01,sigmoid
1600,0.6738439,0.01,sigmoid
1600,0.6386198,0.01,sigmoid
3200,0.56903046,0.01,sigmoid
3200,0.66786724,0.01,sigmoid
3200,0.67070985,0.01,sigmoid
3200,0.67823905,0.01,sigmoid
3200,0.62878674,0.01,sigmoid
3200,0.5788131,0.01,sigmoid
3200,0.64684397,0.01,sigmoid
3200,0.66431606,0.01,sigmoid
3200,0.6210559,0.01,sigmoid
3200,0.6747735,0.01,sigmoid
6400,0.66003585,0.01,sigmoid
6400,0.6735579,0.01,sigmoid
6400,0.65565336,0.01,sigmoid
6400,0.68591774,0.01,sigmoid
6400,0.67919,0.01,sigmoid
6400,0.5634636,0.01,sigmoid
6400,0.6696586,0.01,sigmoid
6400,0.6612269,0.01,sigmoid
6400,0.66242194,0.01,sigmoid
6400,0.6313323,0.01,sigmoid
12800,0.65987694,0.01,sigmoid
12800,0.6776142,0.01,sigmoid
12800,0.5571074,0.01,sigmoid
12800,0.6760411,0.01,sigmoid
12800,0.6044215,0.01,sigmoid
12800,0.6687713,0.01,sigmoid
12800,0.6613219,0.01,sigmoid
12800,0.5409464,0.01,sigmoid
12800,0.6179546,0.01,sigmoid
12800,0.66122496,0.01,sigmoid
