$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
3200,0.02615712,0.8,non
3200,0.03623757,0.8,non
6400,0.012933869,0.8,non
6400,0.023908617,0.8,non
6400,0.01217033,0.8,non
6400,0.018695362,0.8,non
6400,0.016888818,0.8,non
6400,0.0057855705,0.8,non
6400,0.028101457,0.8,non
6400,0.0060331174,0.8,non
6400,0.011424669,0.8,non
6400,0.023875428,0.8,non
12800,0.011011066,0.8,non
12800,0.0058722855,0.8,non
12800,0.005029325,0.8,non
12800,-0.002489118,0.8,non
12800,0.0035067317,0.8,non
12800,0.00431724,0.8,non
12800,-0.0021233591,0.8,non
12800,0.0022297872,0.8,non
12800,0.003052197,0.8,non
12800,-0.0010336419,0.8,non
200,0.74690425,0.9,non
200,0.80006164,0.9,non
200,0.7873243,0.9,non
200,0.84165245,0.9,non
200,0.7177874,0.9,non
200,0.78895605,0.9,non
200,0.8077129,0.9,non
200,0.7668253,0.9,non
200,0.72333044,0.9,non
200,0.8206382,0.9,non
400,0.74004495,0.9,non
400,0.799921,0.9,non
400,0.76168764,0.9,non
400,0.72890526,0.9,non
400,0.7429052,0.9,non
400,0.78148985,0.9,non
400,0.7666619,0.9,non
400,0.71106803,0.9,non
400,0.76268953,0.9,non
400,0.7491893,0.9,non
800,0.69108653,0.9,non
800,0.5902436,0.9,non
800,0.62508154,0.9,non
800,0.5969522,0.9,non
800,0.57727826,0.9,non
800,0.59012365,0.9,non
800,0.636992,0.9,non
800,0.6391201,0.9,non
800,0.6476547,0.9,non
800,0.6181015,0.9,non
1600,0.30404574,0.9,non
1600,0.38307157,0.9,non
1600,0.31845635,0.9,non
1600,0.36297932,0.9,non
1600,0.4342277,0.9,non
1600,0.37056857,0.9,non
1600,0.35935473,0.9,non
1600,0.37095377,0.9,non
1600,0.31086165,0.9,non
1600,0.32030016,0.9,non
3200,0.14178935,0.9,non
3200,0.092986904,0.9,non
3200,0.124055065,0.9,non
3200,0.09736442,0.9,non
3200,0.12248241,0.9,non
3200,0.11652799,0.9,non
3200,0.119004935,0.9,non
3200,0.12766747,0.9,non
3200,0.08841494,0.9,non
3200,0.15601385,0.9,non
6400,0.023566416,0.9,non
6400,0.063430496,0.9,non
6400,0.015733195,0.9,non
6400,0.03751584,0.9,non
6400,0.034512274,0.9,non
6400,0.038725704,0.9,non
6400,0.0050773616,0.9,non
6400,0.02809629,0.9,non
6400,0.048912615,0.9,non
6400,0.04311317,0.9,non
12800,0.022093724,0.9,non
12800,0.012518073,0.9,non
12800,0.020787653,0.9,non
12800,0.0059338044,0.9,non
12800,0.017786877,0.9,non
12800,0.0044318833,0.9,non
12800,0.0049653244,0.9,non
12800,0.0025028132,0.9,non
12800,0.000717419,0.9,non
12800,0.01676414,0.9,non
