$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.247918,0.0,sigmoid
200,0.2755346,0.0,sigmoid
200,0.18877755,0.0,sigmoid
200,0.28616005,0.0,sigmoid
200,0.2328312,0.0,sigmoid
200,0.3537761,0.0,sigmoid
200,0.22498253,0.0,sigmoid
200,0.24976365,0.0,sigmoid
200,0.2768488,0.0,sigmoid
200,0.29847604,0.0,sigmoid
200,0.2112204,0.0,sigmoid
200,0.24780335,0.0,sigmoid
200,0.28680754,0.0,sigmoid
200,0.2598742,0.0,sigmoid
200,0.19930221,0.0,sigmoid
200,0.27304935,0.0,sigmoid
200,0.1661402,0.0,sigmoid
200,0.2915881,0.0,sigmoid
200,0.23816146,0.0,sigmoid
200,0.17620192,0.0,sigmoid
200,0.32897547,0.0,sigmoid
200,0.28156328,0.0,sigmoid
200,0.2519159,0.0,sigmoid
200,0.18097742,0.0,sigmoid
200,0.29848492,0.0,sigmoid
200,0.251977,0.0,sigmoid
200,0.33025947,0.0,sigmoid
200,0.2319197,0.0,sigmoid
200,0.27327803,0.0,sigmoid
200,0.22995202,0.0,sigmoid
200,0.28138438,0.0,sigmoid
200,0.32218504,0.0,sigmoid
200,0.23955876,0.0,sigmoid
200,0.2719137,0.0,sigmoid
200,0.26973936,0.0,sigmoid
200,0.27119893,0.0,sigmoid
200,0.2713042,0.0,sigmoid
200,0.25078776,0.0,sigmoid
200,0.29867914,0.0,sigmoid
200,0.34486914,0.0,sigmoid
200,0.3296804,0.0,sigmoid
200,0.25523028,0.0,sigmoid
200,0.25200713,0.0,sigmoid
200,0.3003374,0.0,sigmoid
200,0.23846966,0.0,sigmoid
200,0.22810484,0.0,sigmoid
200,0.23767912,0.0,sigmoid
200,0.2808725,0.0,sigmoid
200,0.29815435,0.0,sigmoid
200,0.33704716,0.0,sigmoid
400,0.18724656,0.0,sigmoid
400,0.1622863,0.0,sigmoid
400,0.14732331,0.0,sigmoid
400,0.1368534,0.0,sigmoid
400,0.20955981,0.0,sigmoid
400,0.10584999,0.0,sigmoid
400,0.16731519,0.0,sigmoid
400,0.103366666,0.0,sigmoid
400,0.14987016,0.0,sigmoid
400,0.1710245,0.0,sigmoid
400,0.27287728,0.0,sigmoid
400,0.23996316,0.0,sigmoid
400,0.17785215,0.0,sigmoid
400,0.20361644,0.0,sigmoid
400,0.16166936,0.0,sigmoid
400,0.18201505,0.0,sigmoid
400,0.10384365,0.0,sigmoid
400,0.15217836,0.0,sigmoid
400,0.13540816,0.0,sigmoid
400,0.1416425,0.0,sigmoid
400,0.20006333,0.0,sigmoid
400,0.2092868,0.0,sigmoid
400,0.18556492,0.0,sigmoid
400,0.116497956,0.0,sigmoid
400,0.15983748,0.0,sigmoid
400,0.16288461,0.0,sigmoid
400,0.17870927,0.0,sigmoid
400,0.2062529,0.0,sigmoid
400,0.0987064,0.0,sigmoid
400,0.14466164,0.0,sigmoid
400,0.14890605,0.0,sigmoid
400,0.23026608,0.0,sigmoid
400,0.111483485,0.0,sigmoid
400,0.12204327,0.0,sigmoid
400,0.20792037,0.0,sigmoid
400,0.082357325,0.0,sigmoid
400,0.1604034,0.0,sigmoid
400,0.16672744,0.0,sigmoid
400,0.10001832,0.0,sigmoid
400,0.17804281,0.0,sigmoid
400,0.16973062,0.0,sigmoid
400,0.1720692,0.0,sigmoid
400,0.18108621,0.0,sigmoid
