$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
200,0.24497691,0.0,relu
200,0.29237956,0.0,relu
200,0.29682016,0.0,relu
200,0.2665553,0.0,relu
200,0.19789016,0.0,relu
200,0.20319308,0.0,relu
200,0.16287152,0.0,relu
200,0.22443818,0.0,relu
200,0.18999933,0.0,relu
200,0.20406885,0.0,relu
400,0.13061303,0.0,relu
400,0.083477855,0.0,relu
400,0.20107777,0.0,relu
400,0.13075587,0.0,relu
400,0.14697404,0.0,relu
400,0.12339518,0.0,relu
400,0.13512096,0.0,relu
400,0.094479375,0.0,relu
400,0.07595553,0.0,relu
400,0.07969151,0.0,relu
800,0.03475903,0.0,relu
800,0.0732106,0.0,relu
800,0.07354978,0.0,relu
800,0.14488071,0.0,relu
800,0.059844118,0.0,relu
800,0.06159343,0.0,relu
800,0.09494422,0.0,relu
800,0.070126645,0.0,relu
800,0.07444364,0.0,relu
800,0.060953934,0.0,relu
1600,-0.0046214624,0.0,relu
1600,0.022721708,0.0,relu
1600,0.035671428,0.0,relu
1600,0.05959771,0.0,relu
1600,0.030395562,0.0,relu
1600,0.0398505,0.0,relu
1600,0.04373504,0.0,relu
1600,0.060041178,0.0,relu
1600,0.041010194,0.0,relu
1600,0.05442097,0.0,relu
3200,0.034339245,0.0,relu
3200,0.026488027,0.0,relu
3200,0.010785251,0.0,relu
3200,0.03533629,0.0,relu
3200,0.022495156,0.0,relu
3200,0.016170822,0.0,relu
3200,0.015999874,0.0,relu
3200,0.036706172,0.0,relu
3200,-0.00025304948,0.0,relu
3200,0.003577763,0.0,relu
6400,0.00523751,0.0,relu
6400,0.0074196947,0.0,relu
6400,0.010473045,0.0,relu
6400,0.0029306517,0.0,relu
6400,-0.0031408393,0.0,relu
6400,0.008344004,0.0,relu
6400,-0.012458984,0.0,relu
6400,-0.009054015,0.0,relu
6400,0.0032111853,0.0,relu
6400,0.0009936302,0.0,relu
12800,0.011385958,0.0,relu
12800,-0.011386163,0.0,relu
12800,0.017229194,0.0,relu
12800,0.009752188,0.0,relu
12800,-0.0066704564,0.0,relu
12800,0.001033591,0.0,relu
12800,0.008395641,0.0,relu
12800,0.0077566653,0.0,relu
12800,0.0003139952,0.0,relu
12800,0.006654699,0.0,relu
200,0.6389125,0.05,relu
200,0.6849294,0.05,relu
200,0.6976614,0.05,relu
200,0.69719684,0.05,relu
200,0.6071811,0.05,relu
200,0.649368,0.05,relu
200,0.6730542,0.05,relu
200,0.6517026,0.05,relu
200,0.6391569,0.05,relu
200,0.6202919,0.05,relu
400,0.67998266,0.05,relu
400,0.63264906,0.05,relu
400,0.6916087,0.05,relu
400,0.6319211,0.05,relu
400,0.69369954,0.05,relu
400,0.6777933,0.05,relu
400,0.6545239,0.05,relu
400,0.6442337,0.05,relu
400,0.67782223,0.05,relu
400,0.6885486,0.05,relu
800,0.663581,0.05,relu
800,0.72601205,0.05,relu
800,0.7008534,0.05,relu
800,0.6142944,0.05,relu
800,0.6716633,0.05,relu
800,0.6221923,0.05,relu
800,0.6867929,0.05,relu
800,0.67844564,0.05,relu
800,0.68302494,0.05,relu
800,0.73312134,0.05,relu
1600,0.6780911,0.05,relu
1600,0.70532686,0.05,relu
1600,0.67648494,0.05,relu
1600,0.6719507,0.05,relu
1600,0.6869751,0.05,relu
