$p$ Hidden Layer Width,Alignment,Regularization $\lambda$,Activation
6900,0.1880577,0,relu
6900,0.30728433,0,relu
7000,0.29170576,0,relu
7000,0.3073879,0,relu
7000,0.27334395,0,relu
7000,0.28359222,0,relu
7000,0.2410852,0,relu
7000,0.230298,0,relu
7000,0.24184453,0,relu
7000,0.24411413,0,relu
7000,0.27393368,0,relu
7000,0.23762774,0,relu
7100,0.30258402,0,relu
7100,0.260222,0,relu
7100,0.21634494,0,relu
7100,0.27034914,0,relu
7100,0.24018933,0,relu
7100,0.25578308,0,relu
7100,0.23385887,0,relu
7100,0.23561972,0,relu
7100,0.19757849,0,relu
7100,0.24190737,0,relu
7200,0.22222875,0,relu
7200,0.25344187,0,relu
7200,0.281414,0,relu
7200,0.2879732,0,relu
7200,0.26981565,0,relu
7200,0.23612663,0,relu
7200,0.23084362,0,relu
7200,0.28343415,0,relu
7200,0.292585,0,relu
7200,0.23923446,0,relu
7300,0.2525283,0,relu
7300,0.2695157,0,relu
7300,0.2713274,0,relu
7300,0.2535311,0,relu
7300,0.22414798,0,relu
7300,0.26767665,0,relu
7300,0.24643567,0,relu
7300,0.26730824,0,relu
7300,0.22895162,0,relu
7300,0.29733384,0,relu
7400,0.26886615,0,relu
7400,0.24694052,0,relu
7400,0.24696109,0,relu
7400,0.25243002,0,relu
7400,0.21399611,0,relu
7400,0.2582293,0,relu
7400,0.26374286,0,relu
7400,0.2723306,0,relu
7400,0.27295467,0,relu
7400,0.2908739,0,relu
7500,0.2450744,0,relu
7500,0.27366188,0,relu
7500,0.2933214,0,relu
7500,0.2769267,0,relu
7500,0.24950746,0,relu
7500,0.24252826,0,relu
7500,0.30118272,0,relu
7500,0.26855618,0,relu
7500,0.22348242,0,relu
7500,0.2558601,0,relu
7600,0.22688615,0,relu
7600,0.24691008,0,relu
7600,0.20672497,0,relu
7600,0.2623788,0,relu
7600,0.26548478,0,relu
7600,0.27654016,0,relu
7600,0.2779454,0,relu
7600,0.20115827,0,relu
7600,0.22545177,0,relu
7600,0.26335323,0,relu
7700,0.25018698,0,relu
7700,0.27819678,0,relu
7700,0.24141552,0,relu
7700,0.22719228,0,relu
7700,0.24857862,0,relu
7700,0.29274774,0,relu
7700,0.31398457,0,relu
7700,0.27391288,0,relu
7700,0.29621366,0,relu
7700,0.2448959,0,relu
7800,0.27437633,0,relu
7800,0.20513202,0,relu
7800,0.28019837,0,relu
7800,0.2782388,0,relu
7800,0.27049735,0,relu
7800,0.26876587,0,relu
7800,0.28060216,0,relu
7800,0.24690217,0,relu
7800,0.3059228,0,relu
7800,0.24316923,0,relu
7900,0.22001904,0,relu
7900,0.26826409,0,relu
7900,0.26304698,0,relu
7900,0.24663952,0,relu
7900,0.2495139,0,relu
7900,0.24886012,0,relu
7900,0.25914195,0,relu
7900,0.25027865,0,relu
7900,0.26092213,0,relu
7900,0.29899362,0,relu
8000,0.29620424,0,relu
8000,0.25685376,0,relu
8000,0.23991558,0,relu
8000,0.30238956,0,relu
8000,0.28552467,0,relu
8000,0.27399042,0,relu
8000,0.26803136,0,relu
8000,0.29068154,0,relu
8000,0.27071935,0,relu
8000,0.20267631,0,relu
8100,0.2541054,0,relu
8100,0.24030443,0,relu
8100,0.21900088,0,relu
8100,0.2566099,0,relu
8100,0.2616703,0,relu
8100,0.27278703,0,relu
8100,0.26496485,0,relu
8100,0.28408504,0,relu
8100,0.26220277,0,relu
8100,0.28795385,0,relu
8200,0.23287481,0,relu
8200,0.25407964,0,relu
8200,0.2197332,0,relu
8200,0.3022796,0,relu
8200,0.2645662,0,relu
8200,0.275573,0,relu
8200,0.22982687,0,relu
8200,0.31940055,0,relu
8200,0.27498278,0,relu
8200,0.2801852,0,relu
8300,0.26531246,0,relu
8300,0.27030212,0,relu
8300,0.28140074,0,relu
8300,0.2463913,0,relu
8300,0.28290606,0,relu
8300,0.22029692,0,relu
8300,0.25591168,0,relu
8300,0.24484564,0,relu
8300,0.23531853,0,relu
8300,0.28568533,0,relu
8400,0.25699845,0,relu
8400,0.25837186,0,relu
8400,0.24984153,0,relu
8400,0.24071297,0,relu
8400,0.28318426,0,relu
8400,0.25323075,0,relu
8400,0.28941154,0,relu
8400,0.25365737,0,relu
8400,0.21026471,0,relu
8400,0.26693,0,relu
8500,0.23919365,0,relu
8500,0.23218645,0,relu
8500,0.22949257,0,relu
8500,0.2773115,0,relu
8500,0.25187218,0,relu
8500,0.2796243,0,relu
8500,0.2574772,0,relu
8500,0.2606611,0,relu
8500,0.2402565,0,relu
8500,0.26515225,0,relu
8600,0.17315805,0,relu
8600,0.29006526,0,relu
8600,0.2396101,0,relu
8600,0.22417864,0,relu
8600,0.23037267,0,relu
8600,0.2622865,0,relu
8600,0.29014668,0,relu
8600,0.31163633,0,relu
8600,0.27440393,0,relu
8600,0.29057464,0,relu
8700,0.26994362,0,relu
8700,0.27167827,0,relu
8700,0.25673425,0,relu
8700,0.23313925,0,relu
